,0
2023-12-01,703.3056821602559
2023-12-04,694.6938358358577
2023-12-05,700.8491698231122
2023-12-06,703.295977593785
2023-12-07,692.2295619069428
2023-12-08,693.1444838043979
2023-12-11,685.7791338975647
2023-12-12,689.5222034447861
2023-12-13,688.0451873415459
2023-12-14,698.2440580936955
2023-12-15,715.0455812040763
2023-12-18,717.7097707956538
2023-12-19,732.1705091612153
2023-12-20,722.3396942217054
2023-12-21,724.0115571576106
2023-12-22,737.0070205030918
2023-12-27,733.1559926460019
2023-12-28,734.1328687051772
2024-01-03,731.1713455357691
2024-01-04,732.3810997262926
2024-01-05,719.9238089288402
2024-01-08,728.893644384857
2024-01-09,742.8525956878275
2024-01-10,757.1829803280331
2024-01-11,766.1237448585979
2024-01-12,764.1791738163757
2024-01-15,768.1531432544667
2024-01-16,766.5875750516087
2024-01-17,747.7865839258394
2024-01-18,756.0116519420333
2024-01-19,751.6920896935562
2024-01-22,772.1927685447009
2024-01-23,774.3057532724491
2024-01-24,787.5744159308936
2024-01-25,767.7398298084279
2024-01-26,863.8430408944591
2024-01-29,883.7825842943197
2024-01-30,880.2077831527786
2024-01-31,866.7651087817852
2024-02-01,870.443646330414
2024-02-02,875.9189921393893
2024-02-05,901.1421309675227
2024-02-06,906.5804690266741
2024-02-07,887.2874411246027
2024-02-08,902.351000157194
2024-02-09,901.9616009906326
2024-02-12,906.318813016129
2024-02-13,897.3347408852605
2024-02-14,934.5625526938438
2024-02-15,926.4230938036781
2024-02-16,924.4265679557786
2024-02-19,923.16171406478
2024-02-20,919.6860105610688
2024-02-21,918.8767453864098
2024-02-22,928.9480512861178
2024-02-23,936.2931284540213
2024-02-26,932.7554857525682
2024-02-27,937.3556039886009
2024-02-28,937.608387599261
2024-02-29,933.6236891954559
2024-03-01,940.2141312054645
2024-03-04,936.525748828082
2024-03-05,921.6176640202948
2024-03-06,919.874099572278
2024-03-07,939.6546618353252
2024-03-08,937.9597381429702
2024-03-11,927.2594559443188
2024-03-12,927.3673786558603
2024-03-13,950.0224165868591
2024-03-14,971.4638373541666
2024-03-15,955.6419906204408
2024-03-18,962.5261198447655
2024-03-19,970.2688752532032
2024-03-20,1020.554217723314
2024-03-21,1044.3446916008097
2024-03-22,1055.261007690772
2024-03-25,1049.0383403142105
2024-03-26,1063.6159897244333
2024-03-27,1067.056509168857
2024-03-28,1074.2067381233428
2024-04-02,1061.2740723195443
2024-04-03,1080.4369423450828
2024-04-04,1086.9156031806222
2024-04-05,1084.4395217125318
2024-04-08,1092.4856067561122
2024-04-09,1082.1767221051161
2024-04-10,1066.120713037329
2024-04-11,1074.1896579957047
2024-04-12,1064.956492754547
2024-04-15,1063.6931477845162
2024-04-16,1050.248715086776
2024-04-17,1043.3496583497963
2024-04-18,1020.962365920422
2024-04-19,1007.1081110504193
2024-04-22,1014.6798853659766
2024-04-23,1050.2579660378585
2024-04-24,1044.1224856075119
2024-04-25,1026.9948166941517
2024-04-26,1052.7774426769752
2024-04-29,1043.1107454003675
2024-04-30,1021.8205884779039
2024-05-02,1027.7216565465733
2024-05-03,1038.5036166977268
2024-05-06,1036.0895672886752
2024-05-07,1038.4257926601733
2024-05-08,1050.1488481005913
2024-05-10,1049.6529908037355
2024-05-13,1038.8909928584735
2024-05-14,1023.0196494679641
2024-05-15,1067.9541999236783
2024-05-16,1059.080695629562
2024-05-17,1062.356322490432
2024-05-21,1023.7981208254149
2024-05-22,1029.0633586244026
2024-05-23,1031.0591511132695
2024-05-24,1036.577831371139
2024-05-27,1032.7949379812292
2024-05-28,1000.5018877321073
2024-05-29,978.244343750732
2024-05-30,988.406982807762
2024-05-31,984.5202669221666
2024-06-03,981.7230323159986
2024-06-04,995.4928317545425
2024-06-05,1008.0656464279689
2024-06-06,1021.2865943882913
2024-06-07,1010.1109941563649
2024-06-10,1011.355041442248
2024-06-11,1000.599618461732
2024-06-12,982.3902160768082
2024-06-13,975.2517568369307
2024-06-14,973.3979035718635
2024-06-17,960.0285579496389
2024-06-18,967.6859263754351
2024-06-19,961.3962290292611
2024-06-20,974.15069561887
2024-06-21,967.8580082438842
2024-06-24,985.6849383117042
2024-06-25,979.4632194615779
2024-06-26,984.5709731828682
2024-06-27,985.544837949601
2024-06-28,991.8817487917203
2024-07-01,988.582331709945
2024-07-02,984.7191456477407
2024-07-03,1003.9299957692958
2024-07-04,1007.320544363897
2024-07-05,1013.3175751394078
2024-07-08,1014.2287302263323
2024-07-09,1018.043063105181
2024-07-10,1028.028342629979
2024-07-11,1047.1836491513377
2024-07-12,1042.2791608298894
2024-07-15,1039.0338451756866
2024-07-16,1035.5756713220208
2024-07-17,1026.2454422678056
2024-07-18,1041.6350877118819
2024-07-19,1023.4171575086149
2024-07-22,1033.9190416712036
2024-07-23,1048.4532840201568
2024-07-24,1050.5728579321733
2024-07-25,1099.6857591793978
2024-07-26,1099.764310967584
2024-07-29,1099.8428683668126
2024-07-30,1099.9214313774842
