"Date","Price","Open","High","Low","Change %"
"03/11/2024","1.560","1.390","1.650","1.390","0.00%"
"03/10/2024","1.560","1.390","1.580","1.390","0.00%"
"03/09/2024","1.560","1.450","1.580","1.390","6.12%"
"03/08/2024","1.470","1.390","1.650","1.390","-2.00%"
"03/07/2024","1.500","1.400","1.600","1.400","0.00%"
"03/06/2024","1.500","1.390","1.650","1.390","-3.85%"
"03/05/2024","1.560","1.400","1.650","1.290","0.00%"
"03/04/2024","1.560","1.450","1.600","1.390","0.00%"
"03/03/2024","1.560","1.580","1.600","1.410","1.30%"
"03/02/2024","1.540","1.500","1.540","1.410","3.36%"
"03/01/2024","1.490","1.410","1.650","1.410","-3.87%"
"02/29/2024","1.550","1.370","1.920","1.370","1.31%"
"02/28/2024","1.530","1.370","1.650","1.370","-1.92%"
"02/27/2024","1.560","1.310","1.650","1.310","0.00%"
"02/26/2024","1.560","1.360","1.620","1.360","1.96%"
"02/25/2024","1.530","1.560","1.560","1.370","-1.92%"
"02/24/2024","1.560","1.370","1.590","1.370","0.65%"
"02/23/2024","1.550","1.370","1.650","1.370","-0.64%"
"02/22/2024","1.560","1.360","1.650","1.360","0.00%"
"02/21/2024","1.560","1.410","1.650","1.190","0.00%"
"02/20/2024","1.560","1.410","1.650","1.410","0.00%"
"02/19/2024","1.560","1.410","1.650","1.210","0.00%"
"02/18/2024","1.560","1.600","1.600","1.520","0.00%"
"02/17/2024","1.560","1.530","1.560","1.530","0.65%"
"02/16/2024","1.550","1.530","1.650","1.500","-0.64%"
"02/15/2024","1.560","1.440","1.650","1.440","0.00%"
"02/14/2024","1.560","1.490","1.650","1.490","0.00%"
"02/13/2024","1.560","1.430","1.650","1.430","0.00%"
"02/12/2024","1.560","1.420","1.600","1.420","-0.64%"
"02/11/2024","1.570","1.400","1.570","1.400","-1.87%"
"02/09/2024","1.600","1.400","1.650","1.400","2.56%"
"02/08/2024","1.560","1.410","1.650","1.410","0.00%"
