"Date","Price","Open","High","Low","Change %"
"08/14/2023","1.600","1.620","1.740","1.570","-0.62%"
"08/13/2023","1.610","1.600","1.620","1.600","0.62%"
"08/12/2023","1.600","1.600","1.600","1.600","0.00%"
"08/11/2023","1.600","1.650","1.750","1.600","-0.62%"
"08/10/2023","1.610","1.650","1.780","1.590","0.00%"
"08/09/2023","1.610","1.650","1.880","1.550","0.00%"
"08/08/2023","1.610","1.450","1.730","1.400","15.00%"
"08/07/2023","1.400","1.450","1.500","1.400","-3.45%"
"08/06/2023","1.450","1.450","1.450","1.450","0.00%"
"08/05/2023","1.450","1.450","1.450","1.450","0.00%"
"08/04/2023","1.450","1.380","1.520","1.380","-9.94%"
"08/03/2023","1.610","1.450","1.780","1.450","0.00%"
"08/02/2023","1.610","1.450","1.780","1.450","3.21%"
"08/01/2023","1.560","1.510","1.560","1.440","-3.11%"
"07/31/2023","1.610","1.540","1.710","1.540","0.00%"
"07/30/2023","1.610","1.600","1.660","1.600","5.23%"
"07/28/2023","1.530","1.450","1.550","1.450","5.52%"
"07/27/2023","1.450","1.570","1.570","1.450","-16.67%"
"07/26/2023","1.740","1.640","1.760","1.550","5.45%"
"07/25/2023","1.650","1.640","1.790","1.580","0.00%"
"07/24/2023","1.650","1.590","1.790","1.550","3.12%"
"07/23/2023","1.600","1.650","1.650","1.580","-3.03%"
"07/22/2023","1.650","1.580","1.650","1.580","0.00%"
"07/21/2023","1.650","1.640","1.890","1.570","3.12%"
"07/20/2023","1.600","1.640","1.920","1.570","0.00%"
"07/19/2023","1.600","1.620","1.650","1.560","0.00%"
"07/18/2023","1.600","1.640","1.790","1.560","0.00%"
"07/17/2023","1.600","1.750","1.810","1.560","-3.03%"
"07/16/2023","1.650","1.650","1.650","1.650","0.00%"
"07/14/2023","1.650","1.530","1.940","1.530","2.48%"
"07/13/2023","1.610","1.600","1.650","1.530","0.62%"
"07/12/2023","1.600","1.540","1.650","1.540","0.00%"
"07/11/2023","1.600","1.640","1.730","1.600","-0.62%"
"07/10/2023","1.610","1.600","1.740","1.510","0.62%"
"07/09/2023","1.600","1.650","1.650","1.590","-3.03%"
"07/08/2023","1.650","1.590","1.650","1.590","3.12%"
"07/07/2023","1.600","1.640","1.830","1.580","0.00%"
"07/06/2023","1.600","1.640","1.650","1.560","0.00%"
"07/05/2023","1.600","1.640","1.640","1.560","0.00%"
"07/04/2023","1.600","1.640","1.870","1.600","0.00%"
"07/03/2023","1.600","1.630","1.710","1.550","3.23%"
"07/02/2023","1.550","1.600","1.600","1.550","-3.13%"
"07/01/2023","1.600","1.550","1.630","1.550","0.00%"
"06/30/2023","1.600","1.640","1.730","1.600","0.00%"
"06/29/2023","1.600","1.540","1.740","1.540","0.00%"
"06/28/2023","1.600","1.640","1.870","1.560","0.00%"
"06/27/2023","1.600","1.550","1.730","1.550","0.00%"
"06/26/2023","1.600","1.530","1.710","1.430","4.58%"
"06/25/2023","1.530","1.530","1.530","1.530","-5.56%"
"06/23/2023","1.620","1.610","1.760","1.530","0.62%"
"06/22/2023","1.610","1.620","1.720","1.550","1.90%"
"06/21/2023","1.580","1.600","1.620","1.550","1.28%"
"06/20/2023","1.560","1.500","1.600","1.500","0.00%"
"06/19/2023","1.560","1.550","1.730","1.480","0.00%"
"06/18/2023","1.560","1.500","1.560","1.500","0.00%"
"06/17/2023","1.560","1.550","1.560","1.500","0.65%"
"06/16/2023","1.550","1.540","1.550","1.500","3.33%"
"06/15/2023","1.500","1.540","1.540","1.450","0.00%"
"06/14/2023","1.500","1.470","1.540","1.460","0.67%"
"06/13/2023","1.490","1.500","1.530","1.490","0.00%"
"06/12/2023","1.490","1.430","1.530","1.430","1.36%"
"06/11/2023","1.470","1.460","1.480","1.440","0.68%"
"06/10/2023","1.460","1.440","1.480","1.440","0.00%"
"06/09/2023","1.460","1.580","1.640","1.400","-5.19%"
"06/08/2023","1.540","1.390","1.610","1.350","14.07%"
"06/07/2023","1.350","1.150","1.490","1.150","17.39%"
"06/06/2023","1.150","1.390","1.460","1.150","-14.81%"
"06/05/2023","1.350","1.150","1.460","1.150","17.39%"
"06/04/2023","1.150","1.250","1.250","1.150","-8.00%"
"06/03/2023","1.250","1.190","1.250","1.190","-8.76%"
"06/02/2023","1.370","1.390","1.460","1.340","0.74%"
"06/01/2023","1.360","1.390","1.560","1.330","-2.16%"
"05/31/2023","1.390","1.400","1.420","1.320","2.21%"
"05/30/2023","1.360","1.380","1.400","1.300","1.49%"
"05/29/2023","1.340","1.220","1.350","1.220","0.00%"
"05/28/2023","1.340","1.340","1.340","1.340","0.00%"
"05/26/2023","1.340","1.380","1.500","1.310","0.00%"
"05/25/2023","1.340","1.380","1.380","1.340","0.00%"
"05/24/2023","1.340","1.220","1.480","1.220","0.75%"
"05/23/2023","1.330","1.370","1.580","1.330","0.00%"
"05/22/2023","1.330","1.370","1.440","1.330","0.00%"
"05/21/2023","1.330","1.330","1.330","1.330","0.00%"
"05/19/2023","1.330","1.360","1.420","1.330","0.00%"
"05/18/2023","1.330","1.360","1.360","1.320","0.00%"
"05/17/2023","1.330","1.360","1.400","1.320","0.76%"
"05/16/2023","1.320","1.360","1.420","1.310","0.00%"
"05/15/2023","1.320","1.360","1.420","1.320","0.00%"
"05/14/2023","1.320","1.340","1.340","1.320","-2.22%"
"05/12/2023","1.350","1.360","1.360","1.320","0.00%"
"05/11/2023","1.350","1.360","1.370","1.300","0.00%"
"05/10/2023","1.350","1.050","1.360","1.050","3.05%"
"05/09/2023","1.310","1.360","1.420","1.300","-0.76%"
"05/08/2023","1.320","1.360","1.420","1.320","0.00%"
"05/07/2023","1.320","1.320","1.320","1.320","0.00%"
"05/06/2023","1.320","1.320","1.320","1.320","0.00%"
"05/05/2023","1.320","1.360","1.430","1.290","0.00%"
"05/04/2023","1.320","1.360","1.380","1.220","0.00%"
"05/03/2023","1.320","1.360","1.380","1.230","0.00%"
"05/02/2023","1.320","1.370","1.420","1.260","-1.49%"
"05/01/2023","1.340","1.330","1.350","1.330","0.00%"
"04/28/2023","1.340","1.330","1.400","1.200","0.75%"
"04/27/2023","1.330","1.370","1.390","1.250","0.00%"
"04/26/2023","1.330","1.370","1.370","1.250","0.00%"
"04/25/2023","1.330","1.370","1.370","1.330","0.00%"
